"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"732","Ryan Lindgren","NYR","D","20","1998-02-11","Burnsville","MN","USA","USA","72","201","2016","BOS","2","19","49"
"721","Ryan Lomberg","CGY","L","24","1994-09-12","Richmond Hill","ON","CAN","CAN","69","187","-","-","-","-","-"
"165","Ryan McDonagh","T.B","D","29","1989-06-13","St. Paul","MN","USA","USA","73","215","2007","MTL","1","12","12"
"403","Ryan Murphy","MIN","D","25","1993-03-31","Aurora","ON","CAN","CAN","71","181","2011","CAR","1","12","12"
"428","Ryan Murray","CBJ","D","25","1993-09-27","Regina","SK","CAN","CAN","73","205","2012","CBJ","1","2","2"
"393","Ryan Nugent-Hopkins","EDM","C","25","1993-04-12","Burnaby","BC","CAN","CAN","72","184","2011","EDM","1","1","1"
"226","Ryan O'Reilly","STL","C","27","1991-02-07","Clinton","ON","CAN","CAN","73","216","2009","COL","2","3","33"
"560","Ryan Pulock","NYI","D","24","1994-10-06","Dauphin","MB","CAN","CAN","74","217","2013","NYI","1","15","15"
"97","Ryan Reaves","VGK","R","32","1987-01-20","Winnipeg","MB","CAN","CAN","73","225","2005","STL","5","31","156"
"291","Ryan Spooner","EDM, NYR","C","27","1992-01-30","Ottawa","ON","CAN","CAN","70","191","2010","BOS","2","15","45"
"397","Ryan Strome","EDM, NYR","C","25","1993-07-11","Mississauga","ON","CAN","CAN","73","194","2011","NYI","1","5","5"
"30","Ryan Suter","MIN","D","34","1985-01-21","Madison","WI","USA","USA","74","208","2003","NSH","1","7","7"
"506","Saku Maenalanen","CAR","R","24","1994-05-29","Kemi","","FIN","FIN","75","207","2013","NSH","5","4","125"
"586","Sam Bennett","CGY","C","22","1996-06-20","Holland Landing","ON","CAN","CAN","73","195","2014","CGY","1","4","4"
"331","Sam Carrick","ANA","C","27","1992-02-04","Markham","ON","CAN","CAN","72","204","2010","TOR","5","24","144"
"146","Sam Gagner","VAN","C","29","1989-08-10","London","ON","CAN","CAN","71","200","2007","EDM","1","6","6"
"584","Sam Reinhart","BUF","C","23","1995-11-06","West Vancouver","BC","CAN","CAN","73","192","2014","BUF","1","2","2"
"740","Sam Steel","ANA","C","21","1998-02-03","Ardrossan","AB","CAN","CAN","71","186","2016","ANA","1","30","30"
"720","Sami Niku","WPG","D","22","1996-10-10","Haapavesi","","FIN","FIN","73","176","2015","WPG","7","17","198"
"256","Sami Vatanen","N.J","D","27","1991-06-03","Jyväskylä","","FIN","FIN","70","185","2009","ANA","4","15","106"
"639","Sammy Blais","STL","L","22","1996-06-17","Montmagny","QC","CAN","CAN","74","205","2014","STL","6","26","176"
"750","Samuel Girard","COL","D","20","1998-05-12","Roberval","QC","CAN","CAN","70","162","2016","NSH","2","17","47"
"391","Scott Harrington","CBJ","D","25","1993-03-10","Kingston","ON","CAN","CAN","74","207","2011","PIT","2","24","54"
"438","Scott Laughton","PHI","C","24","1994-05-30","Oakville","ON","CAN","CAN","73","190","2012","PHI","1","20","20"
"378","Scott Mayfield","NYI","D","26","1992-10-14","St. Louis","MO","USA","USA","76","223","2011","NYI","2","4","34"
"400","Sean Couturier","PHI","C","26","1992-12-07","Phoenix","AZ","USA","CAN","75","211","2011","PHI","1","8","8"
"363","Sean Kuraly","BOS","C","26","1993-01-20","Dublin","OH","USA","USA","74","213","2011","S.J","5","12","133"
"552","Sean Monahan","CGY","C","24","1994-10-12","Brampton","ON","CAN","CAN","75","200","2013","CGY","1","6","6"
"809","Sean Walker","L.A","D","24","1994-11-13","Keswick","ON","CAN","CAN","71","196","-","-","-","-","-"
"669","Sebastian Aho","CAR","C, R","21","1997-07-26","Rauma","","FIN","FIN","71","176","2015","CAR","2","5","35"
"550","Seth Jones","CBJ","D","24","1994-10-03","Arlington","TX","USA","USA","76","210","2013","NSH","1","4","4"
"459","Shayne Gostisbehere","PHI","D","25","1993-04-20","Pembroke Pines","FL","USA","USA","71","180","2012","PHI","3","17","78"
"525","Shea Theodore","VGK","D","23","1995-08-03","Langley","BC","CAN","CAN","74","195","2013","ANA","1","26","26"
"46","Shea Weber","MTL","D","33","1985-08-14","Sicamous","BC","CAN","CAN","76","229","2003","NSH","2","19","49"
"808","Sheldon Dries","COL","C","24","1994-04-23","Macomb Township","WI","USA","USA","69","185","-","-","-","-","-"
"813","Sheldon Rempal","L.A","R","23","1995-08-07","Calgary","AB","CAN","CAN","70","165","-","-","-","-","-"
"76","Sidney Crosby","PIT","C","31","1987-08-07","Cole Harbour","NS","CAN","CAN","71","200","2005","PIT","1","1","1"
"450","Slater Koekkoek","CHI, T.B","D","24","1994-02-18","Winchester","ON","CAN","CAN","74","193","2012","T.B","1","10","10"
"598","Sonny Milano","CBJ","L","22","1996-05-12","Massapequa","NY","USA","USA","72","195","2014","CBJ","1","16","16"
"251","Stefan Elliott","OTT","D","28","1991-01-30","Vancouver","BC","CAN","CAN","73","190","2009","COL","2","19","49"
"411","Stefan Noesen","N.J","R","25","1993-02-12","Plano","TX","USA","USA","73","205","2011","OTT","1","21","21"
"102","Stephen Gionta","NYI","C, R","35","1983-10-09","Rochester","NY","USA","USA","67","177","-","-","-","-","-"
"368","Steven Fogarty","NYR","C","25","1993-04-19","Chambersburg","PA","USA","USA","75","210","2011","NYR","3","11","72"
"137","Steven Kampfer","BOS","D","30","1988-09-24","Ann Arbor","MI","USA","USA","71","198","2007","ANA","4","2","93"
"537","Steven Santini","N.J","D","23","1995-03-07","Bronxville","NY","USA","USA","74","205","2013","N.J","2","12","42"
"180","Steven Stamkos","T.B","C","28","1990-02-07","Markham","ON","CAN","CAN","73","194","2008","T.B","1","1","1"
"516","Sven Andrighetto","COL","R","25","1993-03-21","Zurich","","CHE","CHE","70","188","2013","MTL","3","25","86"
"404","Sven Baertschi","VAN","L","26","1992-10-05","Bern","","CHE","CHE","71","190","2011","CGY","1","13","13"
"82","T.J. Oshie","WSH","R","32","1986-12-23","Everett","WA","USA","USA","71","195","2005","STL","1","24","24"
"759","Tage Thompson","BUF","C, R","21","1997-10-30","Phoenix","AZ","USA","USA","77","205","2016","STL","1","26","26"
"722","Tanner Fritz","NYI","C","27","1991-08-20","Grande Prairie","AB","CAN","CAN","71","192","-","-","-","-","-"
"437","Tanner Pearson","L.A, PIT","L","26","1992-08-10","Kitchener","ON","CAN","CAN","73","201","2012","L.A","1","30","30"
"343","Taylor Fedun","DAL","D","30","1988-06-04","Edmonton","AB","CAN","CAN","73","201","-","-","-","-","-"
"317","Taylor Hall","N.J","L","27","1991-11-14","Calgary","AB","CAN","CAN","73","205","2010","EDM","1","1","1"
"471","Teddy Blueger","PIT","C","24","1994-08-15","Riga","","LVA","LVA","72","185","2012","PIT","2","22","52"
"447","Teuvo Teravainen","CAR","L","24","1994-09-11","Helsinki","","FIN","FIN","71","191","2012","CHI","1","18","18"
"688","Thomas Chabot","OTT","D","22","1997-01-30","Sainte-Marie","QC","CAN","CAN","74","196","2015","OTT","1","18","18"
"151","Thomas Hickey","NYI","D","29","1989-02-08","Calgary","AB","CAN","CAN","72","183","2007","L.A","1","4","4"
"29","Thomas Vanek","DET","L","35","1984-01-19","Vienna","","AUT","AUT","74","214","2003","BUF","1","5","5"
"330","Tim Heed","S.J","D","28","1991-01-27","Gothenburg","","SWE","SWE","72","180","2010","ANA","5","12","132"
"495","Tim Schaller","VAN","C","28","1990-11-16","Merrimack","NH","USA","USA","74","204","-","-","-","-","-"
"662","Timo Meier","S.J","R","22","1996-10-08","Herisau","","CHE","CHE","72","210","2015","S.J","1","9","9"
"742","Timothy Gettinger","NYR","L","20","1998-04-14","Cleveland","OH","USA","USA","78","220","2016","NYR","5","20","141"
"205","TJ Brodie","CGY","D","28","1990-06-07","Chatham","ON","CAN","CAN","73","185","2008","CGY","4","23","114"
"359","Tobias Rieder","EDM","R","26","1993-01-10","Landshut","","DEU","DEU","71","186","2011","EDM","4","23","114"
"328","Tom Kuhnhackl","NYI","R","27","1992-01-21","Landshut","","DEU","DEU","74","196","2010","PIT","4","20","110"
"94","Tom Pyatt","OTT","L","31","1987-02-14","Thunder Bay","ON","CAN","CAN","71","185","2005","NYR","4","16","107"
"445","Tom Wilson","WSH","R","24","1994-03-29","Toronto","ON","CAN","CAN","76","218","2012","WSH","1","16","16"
"446","Tomas Hertl","S.J","C","25","1993-11-12","Praha","","CZE","CZE","74","215","2012","S.J","1","17","17"
"419","Tomas Hyka","VGK","R","25","1993-03-23","Mlada Boleslav","","CZE","CZE","71","160","2012","L.A","6","20","171"
"582","Tomas Nosek","VGK","L","26","1992-09-01","Pardubice","","CZE","CZE","75","210","-","-","-","-","-"
"18","Tomas Plekanec","MTL","C","36","1982-10-31","Kladno","","CZE","CZE","71","190","2001","MTL","3","8","71"
"247","Tomas Tatar","MTL","L","28","1990-12-01","Ilava","","SVK","SVK","70","182","2009","DET","2","30","60"
"601","Tony DeAngelo","NYR","D","23","1995-10-24","Sewell","NJ","USA","USA","71","180","2014","T.B","1","19","19"
"422","Torey Krug","BOS","D","27","1991-04-12","Livonia","MI","USA","USA","69","186","-","-","-","-","-"
"356","Travis Boyd","WSH","C","25","1993-09-14","Hopkins","MN","USA","USA","71","185","2011","WSH","6","26","177"
"659","Travis Dermott","TOR","D","22","1996-12-22","Newmarket","ON","CAN","CAN","72","204","2015","TOR","2","4","34"
"198","Travis Hamonic","CGY","D","28","1990-08-16","St. Malo","MB","CAN","CAN","74","205","2008","NYI","2","23","53"
"672","Travis Konecny","PHI","C, R","21","1997-03-11","London","ON","CAN","CAN","70","175","2015","PHI","1","24","24"
"599","Travis Sanheim","PHI","D","22","1996-03-29","Elkhorn","MB","CAN","CAN","75","181","2014","PHI","1","17","17"
"61","Travis Zajac","N.J","C","33","1985-05-13","Winnipeg","MB","CAN","CAN","74","185","2004","N.J","1","20","20"
"743","Trent Frederic","BOS","C","20","1998-02-11","St. Louis","MO","USA","USA","74","203","2016","BOS","1","29","29"
"476","Trevor Carrick","CAR","D","24","1994-07-04","Stouffville","ON","CAN","CAN","74","186","2012","CAR","4","24","115"
"20","Trevor Daley","DET","D","35","1983-10-09","Toronto","ON","CAN","CAN","71","195","2002","DAL","2","13","43"
"109","Trevor Lewis","L.A","C","32","1987-01-08","Salt Lake City","UT","USA","USA","73","202","2006","L.A","1","17","17"
"773","Trevor Moore","TOR","L","23","1995-03-31","Thousand Oaks","CA","USA","USA","70","182","-","-","-","-","-"
"573","Trevor van Riemsdyk","CAR","D","27","1991-07-24","Middletown","NJ","USA","USA","74","192","-","-","-","-","-"
"71","Troy Brouwer","FLA","R","33","1985-08-17","Vancouver","BC","CAN","CAN","75","213","2004","CHI","7","21","214"
"762","Troy Stecher","VAN","D","24","1994-04-07","Richmond","BC","CAN","CAN","70","186","-","-","-","-","-"
"715","Troy Terry","ANA","R","21","1997-09-10","Denver","CO","USA","USA","73","178","2015","ANA","5","27","148"
"376","Ty Rattie","EDM","R","25","1993-02-05","Calgary","AB","CAN","CAN","71","183","2011","STL","2","2","32"
"544","Tyler Bertuzzi","DET","L","23","1995-02-24","Sudbury","ON","CAN","CAN","72","190","2013","DET","2","28","58"
"223","Tyler Bozak","STL","C","32","1986-03-19","Regina","SK","CAN","CAN","73","199","-","-","-","-","-"
"193","Tyler Ennis","TOR","C, L","29","1989-10-06","Edmonton","AB","CAN","CAN","69","161","2008","BUF","1","26","26"
"221","Tyler Johnson","T.B","C","28","1990-07-29","Spokane","WA","USA","USA","68","183","-","-","-","-","-"
"502","Tyler Lewington","WSH","D","24","1994-12-05","Edmonton","AB","CAN","CAN","74","202","2013","WSH","7","23","204"
"504","Tyler Motte","VAN","C","23","1995-03-10","St. Clair","MI","USA","USA","70","192","2013","CHI","4","30","121"
"187","Tyler Myers","WPG","D","29","1990-02-01","Houston","TX","USA","CAN","80","229","2008","BUF","1","12","12"
"300","Tyler Pitlick","DAL","C","27","1991-11-01","Minneapolis","MN","USA","USA","74","200","2010","EDM","2","1","31"
"320","Tyler Seguin","DAL","C","27","1992-01-31","Brampton","ON","CAN","CAN","73","200","2010","BOS","1","2","2"
"290","Tyler Toffoli","L.A","R","26","1992-04-24","Scarborough","ON","CAN","CAN","72","197","2010","L.A","2","17","47"
"510","Tyrell Goulbourne","PHI","L","25","1994-01-26","Edmonton","AB","CAN","CAN","71","195","2013","PHI","3","11","72"
"248","Tyson Barrie","COL","D","27","1991-07-26","Victoria","BC","CAN","CAN","70","190","2009","COL","3","3","64"
"745","Tyson Jost","COL","C","20","1998-03-14","St. Albert","AB","CAN","CAN","71","191","2016","COL","1","10","10"
"784","Urho Vaakanainen","BOS","D","20","1999-01-01","Joensuu","","FIN","FIN","73","185","2017","BOS","1","18","18"
"533","Valentin Zykov","CAR, EDM, VGK","L","23","1995-05-15","St. Petersburg","","RUS","RUS","73","220","2013","L.A","2","7","37"
"556","Valeri Nichushkin","DAL","R","23","1995-03-04","Chelyabinsk","","RUS","RUS","76","210","2013","DAL","1","10","10"
"19","Valtteri Filppula","NYI","C","34","1984-03-20","Vantaa","","FIN","FIN","72","196","2002","DET","3","32","95"
"231","Victor Hedman","T.B","D","28","1990-12-18","Ornskoldsvik","","SWE","SWE","78","223","2009","T.B","1","2","2"
"747","Victor Mete","MTL","D","20","1998-06-07","Woodbridge","ON","CAN","CAN","69","183","2016","MTL","4","9","100"
"382","Victor Rask","CAR, MIN","C","25","1993-03-01","Leksand","","SWE","SWE","74","200","2011","CAR","2","12","42"
"629","Viktor Arvidsson","NSH","L, R","25","1993-04-08","Skellefteå","","SWE","SWE","69","180","2014","NSH","4","22","112"
"658","Vince Dunn","STL","D","22","1996-10-29","Mississauga","ON","CAN","CAN","72","203","2015","STL","2","26","56"
"365","Vincent Trocheck","FLA","C","25","1993-07-11","Pittsburgh","PA","USA","USA","70","186","2011","FLA","3","3","64"
"776","Vinni Lettieri","NYR","C","23","1995-02-06","Excelsior","MN","USA","USA","71","191","-","-","-","-","-"
"486","Vinnie Hinostroza","ARI","C","24","1994-04-03","Chicago","IL","USA","USA","69","173","2012","CHI","6","18","169"
"92","Vladimir Sobotka","BUF","C","31","1987-07-02","Trebic","","CZE","CZE","70","189","2005","BOS","4","15","106"
"309","Vladimir Tarasenko","STL","R","27","1991-12-13","Yaroslavl","","RUS","RUS","72","225","2010","STL","1","16","16"
"616","Vladislav Kamenev","COL","C","22","1996-08-12","Orsk","","RUS","RUS","74","194","2014","NSH","2","12","42"
"414","Vladislav Namestnikov","NYR","C","26","1992-11-22","Zhukovskiy","","RUS","RUS","71","184","2011","T.B","1","27","27"
"266","Wade Megan","DET","C","28","1990-07-22","Canton","NY","USA","USA","73","191","2009","FLA","5","17","138"
"621","Warren Foegele","CAR","L","22","1996-04-01","Markham","ON","CAN","CAN","74","198","2014","CAR","3","7","67"
"172","Wayne Simmonds","PHI","R","30","1988-08-26","Scarborough","ON","CAN","CAN","74","185","2007","L.A","2","31","61"
"505","Will Butcher","N.J","D","24","1995-01-06","Sun Prairie","WI","USA","USA","70","190","2013","COL","5","2","123"
"543","William Carrier","VGK","L","24","1994-12-20","LaSalle","QC","CAN","CAN","74","212","2013","STL","2","27","57"
"390","William Karlsson","VGK","C","26","1993-01-08","Marsta","","SWE","SWE","73","189","2011","ANA","2","23","53"
"590","William Nylander","TOR","R","22","1996-05-01","Calgary","AB","CAN","SWE","72","191","2014","TOR","1","8","8"
"388","Xavier Ouellet","MTL","D","25","1993-07-29","Bayonne","","FRA","FRA","73","196","2011","DET","2","18","48"
"427","Yanni Gourde","T.B","C","27","1991-12-15","Saint-Narcisse","QC","CAN","CAN","69","172","-","-","-","-","-"
"160","Yannick Weber","NSH","D","30","1988-09-23","Morges","","CHE","CHE","71","200","2007","MTL","3","12","73"
"197","Zac Dalpe","CBJ","C","29","1989-11-01","Paris","ON","CAN","CAN","74","194","2008","CAR","2","15","45"
"216","Zac Rinaldo","NSH","C, L","28","1990-06-15","Mississauga","ON","CAN","CAN","70","192","2008","PHI","6","27","178"
"774","Zach Aston-Reese","PIT","C","24","1994-08-10","Staten Island","NY","USA","USA","72","204","-","-","-","-","-"
"182","Zach Bogosian","BUF","D","28","1990-07-15","Massena","NY","USA","USA","75","226","2008","ATL","1","3","3"
"315","Zach Hyman","TOR","C, L","26","1992-06-09","Toronto","ON","CAN","CAN","73","209","2010","FLA","5","3","123"
"36","Zach Parise","MIN","L","34","1984-07-28","Minneapolis","MN","USA","USA","71","193","2003","N.J","1","17","17"
"545","Zach Sanford","STL","L","24","1994-11-09","Salem","MA","USA","USA","76","207","2013","WSH","2","31","61"
"683","Zach Werenski","CBJ","D","21","1997-07-19","Grosse Pointe","MI","USA","USA","74","209","2015","CBJ","1","8","8"
"240","Zack Kassian","EDM","R","28","1991-01-24","Windsor","ON","CAN","CAN","75","211","2009","BUF","1","13","13"
"176","Zack Smith","OTT","L","30","1988-04-05","Maple Creek","SK","CAN","CAN","74","208","2008","OTT","3","18","79"
"2","Zdeno Chara","BOS","D","41","1977-03-18","Trencin","","SVK","SVK","81","250","1996","NYI","3","4","56"
"443","Zemgus Girgensons","BUF","C","25","1994-01-05","Riga","","LVA","LVA","74","211","2012","BUF","1","14","14"
